target_timestamp,global_x_history,global_y_history,global_z_history,velocity_x_history,velocity_y_history,velocity_z_history,steer_history,acceleration_x_history,acceleration_y_history,acceleration_z_history,target_acceleration_x,target_acceleration_y,target_acceleration_z,target_steer
1764596501.435087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399]",0.327462599467795,0.9371484515337056,0.5251585167198399,0.7566661034000219
1764596501.6354263,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399]",0.15806594584731154,0.9437139355674805,0.6279703688921535,0.9726778231223157
1764596501.8357773,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02294543671491711]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0052745291573543795]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.17703982114368777]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9697066378378689]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7580388799081086]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9679944589274229]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.9726778231223157]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.15806594584731154]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9437139355674805]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.6279703688921535]",0.3230970512584703,0.8815791749509283,0.14034460070697685,0.6965578429216104
1764596502.0360966,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02294543671491711, 0.04382396361802088]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0052745291573543795, 0.010760680455363936]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.17703982114368777, 0.19089271896366053]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9697066378378689, 0.9100121854707681]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7580388799081086, 0.7936887522216096]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9679944589274229, 0.9572133960407352]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.9726778231223157, 0.6965578429216104]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.15806594584731154, 0.3230970512584703]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9437139355674805, 0.8815791749509283]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.6279703688921535, 0.14034460070697685]",0.28308291611198283,0.8763454006553826,0.6856834757885241,0.7759303575862102
1764596502.2364357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02294543671491711, 0.04382396361802088, 0.06378695484912589]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0052745291573543795, 0.010760680455363936, 0.016611152382618233]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.17703982114368777, 0.19089271896366053, 0.20459264842680322]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9697066378378689, 0.9100121854707681, 0.8434975549731532]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7580388799081086, 0.7936887522216096, 0.8315267521108893]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9679944589274229, 0.9572133960407352, 1.0]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.9726778231223157, 0.6965578429216104, 0.7759303575862102]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.15806594584731154, 0.3230970512584703, 0.28308291611198283]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9437139355674805, 0.8815791749509283, 0.8763454006553826]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.6279703688921535, 0.14034460070697685, 0.6856834757885241]",0.3315199319629934,0.9161740607123604,0.6636678289182039,0.6533726298353213
1764596502.4436522,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.02294543671491711, 0.04382396361802088, 0.06378695484912589, 0.08037602106436303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0052745291573543795, 0.010760680455363936, 0.016611152382618233, 0.022099962430782494]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.17703982114368777, 0.19089271896366053, 0.20459264842680322, 0.2173237609163893]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9697066378378689, 0.9100121854707681, 0.8434975549731532, 0.8278575687730829]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7580388799081086, 0.7936887522216096, 0.8315267521108893, 0.8493751013464484]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9679944589274229, 0.9572133960407352, 1.0, 0.994785381545066]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.9726778231223157, 0.6965578429216104, 0.7759303575862102, 0.6533726298353213]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.15806594584731154, 0.3230970512584703, 0.28308291611198283, 0.3315199319629934]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9437139355674805, 0.8815791749509283, 0.8763454006553826, 0.9161740607123604]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.6279703688921535, 0.14034460070697685, 0.6856834757885241, 0.6636678289182039]",0.29570333667285303,0.8617303370211308,0.40943318165333037,0.7141549537098659
1764596502.6439958,"[0.0, 0.0, 0.0, 0.0, 0.02294543671491711, 0.04382396361802088, 0.06378695484912589, 0.08037602106436303, 0.09796663048540111]","[0.0, 0.0, 0.0, 0.0, 0.0052745291573543795, 0.010760680455363936, 0.016611152382618233, 0.022099962430782494, 0.028754095485742148]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.17703982114368777, 0.19089271896366053, 0.20459264842680322, 0.2173237609163893, 0.23195230672143416]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9697066378378689, 0.9100121854707681, 0.8434975549731532, 0.8278575687730829, 0.7560856156688001]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7580388799081086, 0.7936887522216096, 0.8315267521108893, 0.8493751013464484, 0.8826905538373643]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9679944589274229, 0.9572133960407352, 1.0, 0.994785381545066, 0.9786176281099781]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.9726778231223157, 0.6965578429216104, 0.7759303575862102, 0.6533726298353213, 0.7141549537098659]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.327462599467795, 0.15806594584731154, 0.3230970512584703, 0.28308291611198283, 0.3315199319629934, 0.29570333667285303]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9437139355674805, 0.8815791749509283, 0.8763454006553826, 0.9161740607123604, 0.8617303370211308]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.6279703688921535, 0.14034460070697685, 0.6856834757885241, 0.6636678289182039, 0.40943318165333037]",0.00022718110622732546,0.9428817764089898,0.17394460887815116,0.8830509919943759
1764596502.8443778,"[0.0, 0.0, 0.0, 0.02294543671491711, 0.04382396361802088, 0.06378695484912589, 0.08037602106436303, 0.09796663048540111, 0.11152087201251482]","[0.0, 0.0, 0.0, 0.0052745291573543795, 0.010760680455363936, 0.016611152382618233, 0.022099962430782494, 0.028754095485742148, 0.03454334430133632]","[0.16335428256814122, 0.16335428256814122, 0.16335428256814122, 0.17703982114368777, 0.19089271896366053, 0.20459264842680322, 0.2173237609163893, 0.23195230672143416, 0.24454712290603378]","[0.9931097579582568, 0.9931097579582568, 0.9931097579582568, 0.9697066378378689, 0.9100121854707681, 0.8434975549731532, 0.8278575687730829, 0.7560856156688001, 0.702289375252947]","[0.7353473410019192, 0.7353473410019192, 0.7353473410019192, 0.7580388799081086, 0.7936887522216096, 0.8315267521108893, 0.8493751013464484, 0.8826905538373643, 0.903244898883078]","[0.9429676264353479, 0.9429676264353479, 0.9429676264353479, 0.9679944589274229, 0.9572133960407352, 1.0, 0.994785381545066, 0.9786176281099781, 0.9777837368957992]","[0.7566661034000219, 0.7566661034000219, 0.7566661034000219, 0.9726778231223157, 0.6965578429216104, 0.7759303575862102, 0.6533726298353213, 0.7141549537098659, 0.8830509919943759]","[0.327462599467795, 0.327462599467795, 0.327462599467795, 0.15806594584731154, 0.3230970512584703, 0.28308291611198283, 0.3315199319629934, 0.29570333667285303, 0.00022718110622732546]","[0.9371484515337056, 0.9371484515337056, 0.9371484515337056, 0.9437139355674805, 0.8815791749509283, 0.8763454006553826, 0.9161740607123604, 0.8617303370211308, 0.9428817764089898]","[0.5251585167198399, 0.5251585167198399, 0.5251585167198399, 0.6279703688921535, 0.14034460070697685, 0.6856834757885241, 0.6636678289182039, 0.40943318165333037, 0.17394460887815116]",0.31809008534285066,0.8568344655625598,0.4284682263189347,0.6755437647169141
1764596503.0447447,"[0.0, 0.0, 0.02294543671491711, 0.04382396361802088, 0.06378695484912589, 0.08037602106436303, 0.09796663048540111, 0.11152087201251482, 0.12495213244984127]","[0.0, 0.0, 0.0052745291573543795, 0.010760680455363936, 0.016611152382618233, 0.022099962430782494, 0.028754095485742148, 0.03454334430133632, 0.041403350847969644]","[0.16335428256814122, 0.16335428256814122, 0.17703982114368777, 0.19089271896366053, 0.20459264842680322, 0.2173237609163893, 0.23195230672143416, 0.24454712290603378, 0.25867183122252313]","[0.9931097579582568, 0.9931097579582568, 0.9697066378378689, 0.9100121854707681, 0.8434975549731532, 0.8278575687730829, 0.7560856156688001, 0.702289375252947, 0.6634805051026595]","[0.7353473410019192, 0.7353473410019192, 0.7580388799081086, 0.7936887522216096, 0.8315267521108893, 0.8493751013464484, 0.8826905538373643, 0.903244898883078, 0.922486468492437]","[0.9429676264353479, 0.9429676264353479, 0.9679944589274229, 0.9572133960407352, 1.0, 0.994785381545066, 0.9786176281099781, 0.9777837368957992, 0.9708941809739271]","[0.7566661034000219, 0.7566661034000219, 0.9726778231223157, 0.6965578429216104, 0.7759303575862102, 0.6533726298353213, 0.7141549537098659, 0.8830509919943759, 0.6755437647169141]","[0.327462599467795, 0.327462599467795, 0.15806594584731154, 0.3230970512584703, 0.28308291611198283, 0.3315199319629934, 0.29570333667285303, 0.00022718110622732546, 0.31809008534285066]","[0.9371484515337056, 0.9371484515337056, 0.9437139355674805, 0.8815791749509283, 0.8763454006553826, 0.9161740607123604, 0.8617303370211308, 0.9428817764089898, 0.8568344655625598]","[0.5251585167198399, 0.5251585167198399, 0.6279703688921535, 0.14034460070697685, 0.6856834757885241, 0.6636678289182039, 0.40943318165333037, 0.17394460887815116, 0.4284682263189347]",0.18093701657973904,0.9124947975693037,0.5025100004031422,0.8289889741341031
1764596503.244971,"[0.0, 0.02294543671491711, 0.04382396361802088, 0.06378695484912589, 0.08037602106436303, 0.09796663048540111, 0.11152087201251482, 0.12495213244984127, 0.13535129719960526]","[0.0, 0.0052745291573543795, 0.010760680455363936, 0.016611152382618233, 0.022099962430782494, 0.028754095485742148, 0.03454334430133632, 0.041403350847969644, 0.04758652583506606]","[0.16335428256814122, 0.17703982114368777, 0.19089271896366053, 0.20459264842680322, 0.2173237609163893, 0.23195230672143416, 0.24454712290603378, 0.25867183122252313, 0.2718346703399928]","[0.9931097579582568, 0.9697066378378689, 0.9100121854707681, 0.8434975549731532, 0.8278575687730829, 0.7560856156688001, 0.702289375252947, 0.6634805051026595, 0.5824232442954492]","[0.7353473410019192, 0.7580388799081086, 0.7936887522216096, 0.8315267521108893, 0.8493751013464484, 0.8826905538373643, 0.903244898883078, 0.922486468492437, 0.9429505104622601]","[0.9429676264353479, 0.9679944589274229, 0.9572133960407352, 1.0, 0.994785381545066, 0.9786176281099781, 0.9777837368957992, 0.9708941809739271, 0.9803764068265389]","[0.7566661034000219, 0.9726778231223157, 0.6965578429216104, 0.7759303575862102, 0.6533726298353213, 0.7141549537098659, 0.8830509919943759, 0.6755437647169141, 0.8289889741341031]","[0.327462599467795, 0.15806594584731154, 0.3230970512584703, 0.28308291611198283, 0.3315199319629934, 0.29570333667285303, 0.00022718110622732546, 0.31809008534285066, 0.18093701657973904]","[0.9371484515337056, 0.9437139355674805, 0.8815791749509283, 0.8763454006553826, 0.9161740607123604, 0.8617303370211308, 0.9428817764089898, 0.8568344655625598, 0.9124947975693037]","[0.5251585167198399, 0.6279703688921535, 0.14034460070697685, 0.6856834757885241, 0.6636678289182039, 0.40943318165333037, 0.17394460887815116, 0.4284682263189347, 0.5025100004031422]",0.2879784685508476,0.857054644700788,0.7358663831929467,0.6768320090273705
