step,timestamp,x,y,velocity,heading_degrees,action,steering_angle_degrees,confidence,recommended_speed,nearest_distance,heading_error_degrees
0,0.0,0.24835707650561634,-0.06913215058559233,2.1943065614302077,8.726318284459566,右转,-8.139669659344236,1.0,1.25,0.25779932446576653,-8.139669659344236
1,0.1,0.882923312638332,-0.11706847847459027,2.4737638446522174,4.397077103222712,小右转,-3.454706355305657,1.0,2.0833333333333335,0.1655656346466179,-3.454706355305657
2,0.2,1.765262807032524,0.27128002179298233,1.8609746921562613,-2.6684349273243604,右转,0.5210284107219945,1.0,2.0833333333333335,0.3587400172635484,0.5210284107219945
3,0.30000000000000004,3.1209811357830173,-0.956640122328899,1.48252465024609,-3.2216702298346602,小右转,11.13880867013422,0.8,1.25,0.964259694721707,11.13880867013422
4,0.4,3.493584439832788,0.15712366629763694,1.7275927773436368,-8.091904147721694,左转,6.708535155838149,0.8,1.25,0.5179898124054744,6.708535155838149
5,0.5,5.732824384460777,-0.11288815024326783,2.020258461406377,-8.163205793895017,左转,9.053165625580828,1.0,1.25,0.2900457619137183,9.053165625580828
6,0.6000000000000001,5.727808637737409,0.05546129485493304,1.6547019267733092,2.152591082263558,左转,-2.589548301463692,1.0,2.0833333333333335,0.2777842560645776,-2.589548301463692
7,0.7000000000000001,6.699680655040598,-0.1458468748966384,1.8194880163311808,10.612772245651652,左转,-9.468260820435523,1.0,1.25,0.3338607791789269,-9.468260820435523
8,0.8,7.993251387631033,-0.5288554644779502,2.2467634736309567,-6.994918858868635,小右转,11.311306158919164,0.8,1.25,0.5288985215304491,11.311306158919164
9,0.9,9.104431797502377,-0.9798350619398878,1.6015441853304708,1.1279317965030193,左转,6.959447511650951,0.8,1.25,0.9853845690573407,6.959447511650951
10,1.0,10.369233289997705,0.08568414059498525,1.965305515283528,-1.7251970953058149,左转,0.9848503737417698,1.0,2.0833333333333335,0.37904484482977835,0.9848503737417698
11,1.1,10.260739004816287,-0.3599221041973543,1.8618083687120637,6.056864199181773,左转,-2.999786513608241,1.0,2.0833333333333335,0.4444420656536,-2.999786513608241
12,1.2000000000000002,12.17180914478423,-0.881520077681367,2.0972251908184383,-2.206358943312821,直行,9.562561302178075,0.8,1.25,0.898106914340855,9.562561302178075
13,1.3,12.661538999847021,0.30583814442043394,2.3092998567487855,5.335842036979876,小右转,-7.722323359810041,1.0,1.25,0.4561719184771119,-7.722323359810041
14,1.4000000000000001,13.58039123838868,-0.1546061879256073,2.099379029421069,5.5894618508664555,左转,-4.209849736769276,1.0,2.0833333333333335,0.44718518106694205,-4.209849736769276
15,1.5,14.760412881077356,-0.09282948833190856,1.6680995077981915,-6.853759098541467,右转,7.868759208268165,1.0,1.25,0.2569422142381771,7.868759208268165
16,1.6,16.4062629111971,0.6781200142854115,1.9783969635258998,5.749819965174598,小右转,-16.435600844356944,0.8,0.625,0.7905038309766685,-16.435600844356944
17,1.7000000000000002,17.18081801252382,-0.32255987730256214,2.108418681652524,8.812300399529237,左转,-2.2851231354597,1.0,2.0833333333333335,0.36978375856506707,-2.2851231354597
18,1.8,17.982086980445025,0.7823218279070031,1.2140764687730767,4.709154467193301,大右转,-25.89989747700865,0.8,0.625,0.7825268804899493,-25.89989747700865
19,1.9000000000000001,19.043523534119085,-0.14950367523293373,2.0275282329606505,-11.38793102980291,小右转,20.27176112124725,1.0,0.625,0.15571013753243465,20.27176112124725
20,2.0,19.890164056081243,0.1785562857558732,2.443368213422455,81.03053038455961,大右转,-139.43346724681766,0.5,0.625,0.20963368469656146,-139.43346724681766
21,2.1,20.64103783122994,9.694340431890465,2.2746206353106224,-7.1163948906257275,大左转,9.494847450646843,1.0,1.25,0.4714675070299245,9.494847450646843
22,2.2,21.814236806294073,10.038109723894735,2.029123264804412,-9.450073019597681,左转,9.146207472273847,1.0,1.25,0.18963205211977965,9.146207472273847
23,2.3000000000000003,22.739143396810796,9.346734089652651,1.8823675540603526,-29.38532297822779,左转,-6.897363483085516,1.0,1.25,0.3873761185643161,-6.897363483085516
24,2.4000000000000004,24.215426569290287,9.265982212515953,2.001534036992738,-28.344085267046726,左转,-18.23299094390669,1.0,0.625,0.19738102341772604,-18.23299094390669
25,2.5,24.292314628974793,8.449931376461707,1.897185645041969,-37.59671015256792,右转,-4.5452845665101655,0.8,2.0833333333333335,0.7214871790754683,-4.5452845665101655
26,2.6,25.797209667091728,8.292195372156744,2.565855770363159,-37.999742812811114,大右转,-19.329386367903712,1.0,0.625,0.2175259614851609,-19.329386367903712
27,2.7,26.820081258949966,7.394225296890858,1.4243686354102876,-45.151913316177705,大右转,-18.640301749855972,1.0,0.625,0.13404700494202687,-18.640301749855972
28,2.8000000000000003,27.461563359744453,7.922927119831225,1.9422917105656632,-49.272260996089706,大右转,-20.87206422376623,0.8,0.625,0.9137000476520427,-20.87206422376623
29,2.9000000000000004,28.07281405889685,5.293513504114966,2.342846844354506,-52.69174107505749,大右转,-17.303436379101658,0.8,0.625,0.5845967119669574,-17.303436379101658
30,3.0,29.055770011365908,4.545306272602631,2.4208382932808297,-71.03201494039273,大右转,-7.232425597962197,1.0,1.25,0.48453701853551395,-7.232425597962197
31,3.1,29.42888312332614,5.162594243662992,1.7028391024607936,-72.24464698540783,右转,-11.442621592099714,0.8,1.25,0.7856383131701637,-11.442621592099714
32,3.2,29.560390845495355,2.838432116691375,1.5348009706801602,-74.60716309127531,右转,-6.588960393655403,1.0,1.25,0.25662137910332244,-6.588960393655403
33,3.3000000000000003,29.250324150475006,2.315913123495183,1.724172729729859,-72.1195300070375,右转,0.056627980475614285,0.8,2.0833333333333335,0.5815451337925561,0.056627980475614285
34,3.4000000000000004,29.553592307514617,0.8842538745736968,2.244055165210901,-94.05233304849206,右转,30.838853614300685,0.7,0.625,0.42344106442817053,30.838853614300685
35,3.5,30.113729967302064,0.6535713771412169,1.5177550296316318,136.05787408491167,大左转,124.0707557526935,0.5,0.625,0.42642143036330993,124.0707557526935
36,3.6,20.129941397124213,10.390911435888656,1.6289147867365754,-7.565659095986815,大左转,4.308998357979647,1.0,2.0833333333333335,0.41194237144911805,4.308998357979647
37,3.7,21.26097078280845,10.148492336616593,2.0751478551037628,1.9850020224040874,大左转,-31.24597725753478,0.7,0.625,0.29637912134309147,-31.24597725753478
38,3.8000000000000003,21.659987639210755,10.116126848580501,2.0879217419896046,-4.092932134209647,小左转,3.1865272231453896,1.0,2.0833333333333335,0.3592963267982497,3.1865272231453896
39,3.9000000000000004,23.93288725557238,10.236916460455895,1.6426089508392054,3.761775079880245,大右转,-5.681828156246476,1.0,1.25,0.2462387656311588,-5.681828156246476
40,4.0,23.51265916488634,10.393542301871227,2.347578673702221,-4.702163316256484,小左转,1.693407156448419,0.8,2.0833333333333335,0.626399738929849,1.693407156448419
