epoch,DPAI*1_train_losses,DPAI*1_val_losses,DPAI*1_val_miou_history,history_train_losses,history_val_losses,history_val_miou_history,R_CBAM_train_losses,R_CBAM_val_losses,R_CBAM_val_miou_history,DPAI*2_train_losses,DPAI*2_val_losses,DPAI*2_val_miou_history
1,0.76512,0.59234,0.38567,0.74323,0.57992,0.44192,0.7431748982879424,0.5799341413974762,0.3919480791012844,0.7151,0.4614,0.3728
2,0.52341,0.48567,0.45123,0.50421,0.47201,0.45782,0.5042039275730169,0.4719534044265747,0.4277970224847457,0.3704,0.344,0.4355
3,0.46102,0.43911,0.49567,0.43951,0.44701,0.50112,0.4395477320718509,0.44698173403739927,0.5010907792595624,0.2904,0.3037,0.4652
4,0.41588,0.42671,0.55123,0.40235,0.40071,0.56232,0.40236138388194065,0.40068572521209717,0.5622522716517743,0.248,0.2746,0.496
5,0.38245,0.41899,0.52899,0.37783,0.41483,0.53972,0.37783116198355154,0.4147932982444763,0.5297369965712071,0.2272,0.2642,0.5123
6,0.35412,0.39544,0.56455,0.36153,0.38042,0.57682,0.36152786665385767,0.3803731873035431,0.5767713047226716,0.2092,0.2699,0.532
7,0.33987,0.37123,0.59123,0.35121,0.37282,0.60282,0.35123280764267006,0.37278901028633116,0.6027989126203174,0.196,0.2704,0.5075
8,0.32105,0.36767,0.59899,0.34051,0.37712,0.58922,0.3404793421467466,0.37705155515670774,0.5891940697422422,0.1905,0.2679,0.5395
9,0.31566,0.36355,0.61567,0.32876,0.36042,0.60102,0.32867954817590533,0.360435652256012,0.6110078807244311,0.1777,0.2369,0.5795
10,0.30122,0.35899,0.61899,0.32523,0.36032,0.60412,0.3252373043327562,0.36034053516387937,0.6040519820348553,0.1696,0.2269,0.5837
11,0.29845,0.34211,0.62567,0.31602,0.35922,0.62262,0.3159570014004105,0.3592183874845505,0.6225583472057118,0.1662,0.2142,0.5936
12,0.28566,0.33123,0.63899,0.31045,0.35262,0.61332,0.31038398403794537,0.3526351976394653,0.6133072981029782,0.1575,0.2222,0.5883
13,0.27412,0.33567,0.63567,0.30552,0.34502,0.64252,0.30551171408946154,0.3450042757987976,0.6424894312200305,0.1631,0.2086,0.5996
14,0.26889,0.33899,0.60899,0.29741,0.35801,0.61422,0.29735018923798556,0.3579522923231125,0.6141568050049331,0.1495,0.2074,0.6091
15,0.25541,0.32211,0.61211,0.29234,0.35342,0.60342,0.29235083111111193,0.3534002823829651,0.6033708758590411,0.141,0.2317,0.5869
16,0.24899,0.31567,0.64899,0.28201,0.32862,0.64542,0.2819766160901836,0.32860976934432984,0.6453825159624798,0.1419,0.1987,0.6286
17,0.24123,0.32123,0.63567,0.28034,0.33762,0.62092,0.28027766542409055,0.33761942195892336,0.6209388704582148,0.1482,0.2149,0.6072
18,0.23655,0.30899,0.64211,0.27332,0.33002,0.62822,0.2733263458295535,0.3299913413524628,0.628245594062262,0.1373,0.1973,0.6362
19,0.22411,0.30211,0.65544,0.26672,0.32592,0.64142,0.2666911059810269,0.32587552881240844,0.6414139066139234,0.1354,0.2052,0.6164
20,0.21899,0.29123,0.66123,0.25592,0.31082,0.63802,0.2558961769425741,0.3108004710674286,0.6380161750699029,0.1369,0.1986,0.6405
21,0.20566,0.29567,0.65899,0.23323,0.31632,0.62252,0.23323583380589563,0.31631137132644654,0.6224807918521615,0.1271,0.2185,0.6071
22,0.19845,0.28123,0.67211,0.22812,0.30232,0.64342,0.22821346419032223,0.3023374793529511,0.6434354603661229,0.1318,0.2013,0.6443
23,0.19233,0.26899,0.68544,0.21567,0.28852,0.65142,0.2157243441550001,0.2885036264657974,0.6513941185571889,0.123,0.1908,0.6549
24,0.19455,0.27544,0.68123,0.21301,0.29592,0.65162,0.21296624475789647,0.29593312394618987,0.6516322864737353,0.1218,0.1924,0.6525
25,0.18566,0.26123,0.69567,0.21345,0.28302,0.67482,0.21342323510156525,0.2829816747903824,0.674824061179849,0.1236,0.2017,0.6618
26,0.18211,0.27211,0.68211,0.20212,0.29802,0.64472,0.20212156761197314,0.2979824707508087,0.6447087901403118,0.1223,0.2054,0.6628
27,0.17654,0.26455,0.68899,0.20487,0.29092,0.63662,0.20475634376728727,0.290892454624176,0.6365692881548651,0.1204,0.1937,0.6729
28,0.17122,0.25123,0.70123,0.20201,0.29092,0.67382,0.20204060197237037,0.275084579706192,0.6738157073411554,0.1144,0.184,0.6658
29,0.16899,0.25455,0.69845,0.19752,0.27512,0.67222,0.19749750177906725,0.27679815220832826,0.6721592322728519,0.1126,0.1868,0.6715
30,0.16233,0.25899,0.69211,0.19152,0.27682,0.65492,0.19150024700549342,0.28134476006031034,0.6549396986304296,0.1114,0.1974,0.6801
31,0.16455,0.26211,0.69544,0.19312,0.28132,0.65842,0.1930747584349686,0.29832938706874845,0.6584419410650584,0.1131,0.2016,0.6704
32,0.15566,0.24567,0.71211,0.19312,0.29832,0.62042,0.18794295448128895,0.279240664601326,0.6705050664372658,0.1105,0.203,0.6683
33,0.15211,0.24899,0.70899,0.18792,0.31632,0.67052,0.18626737177011468,0.27991351795196534,0.6669168203362814,0.1113,0.1963,0.6669
