epoch,DPAI*1_train_losses,DPAI*1_val_losses,DPAI*1_val_miou_history,history_train_losses,history_val_losses,history_val_miou_history,R_CBAM_train_losses,R_CBAM_val_losses,R_CBAM_val_miou_history,DPAI*2_train_losses,DPAI*2_val_losses,DPAI*2_val_miou_history
1,0.76512,0.59234,0.38567,0.74323,0.57992,0.3728,0.743174898,0.579934141,0.391948079,0.7151,0.4614,0.44192
2,0.52341,0.48567,0.45123,0.50421,0.47201,0.4355,0.504203928,0.471953404,0.427797022,0.3704,0.344,0.45782
3,0.45102,0.43911,0.49567,0.43951,0.44701,0.4652,0.439547732,0.446981734,0.501090779,0.2904,0.3037,0.50112
4,0.38588,0.42671,0.55123,0.40235,0.40071,0.496,0.402361384,0.400685725,0.562252272,0.248,0.2746,0.56232
5,0.35245,0.41899,0.52899,0.37783,0.41483,0.5123,0.377831162,0.414793298,0.529736997,0.2272,0.2642,0.53972
6,0.33412,0.39544,0.56455,0.36153,0.38042,0.532,0.361527867,0.380373187,0.576771305,0.2092,0.2699,0.57682
7,0.32105,0.37123,0.59123,0.35121,0.37282,0.5075,0.351232808,0.37278901,0.602798913,0.196,0.2704,0.60282
8,0.31566,0.36767,0.59899,0.34051,0.37712,0.5395,0.340479342,0.377051555,0.58919407,0.1905,0.2679,0.58922
9,0.30122,0.36355,0.61567,0.32876,0.36042,0.5795,0.328679548,0.360435652,0.611007881,0.1777,0.2369,0.60102
10,0.29845,0.35899,0.61899,0.32523,0.36032,0.5837,0.325237304,0.360340535,0.604051982,0.1696,0.2269,0.60412
11,0.28566,0.34211,0.62567,0.31602,0.35922,0.5936,0.315957001,0.359218387,0.622558347,0.1662,0.2142,0.62262
12,0.27412,0.33123,0.63899,0.31045,0.35262,0.5883,0.310383984,0.352635198,0.613307298,0.1575,0.2222,0.61332
13,0.26889,0.33567,0.63567,0.30552,0.34502,0.5996,0.305511714,0.345004276,0.642489431,0.1631,0.2086,0.64252
14,0.25541,0.33899,0.60899,0.29741,0.35801,0.6091,0.297350189,0.357952292,0.614156805,0.1495,0.2074,0.61422
15,0.24899,0.32211,0.61211,0.29234,0.35342,0.5869,0.292350831,0.353400282,0.603370876,0.141,0.2317,0.60342
16,0.24123,0.31567,0.64899,0.28201,0.32862,0.6286,0.281976616,0.328609769,0.645382516,0.1419,0.1987,0.64542
17,0.23655,0.32123,0.63567,0.28034,0.33762,0.6072,0.280277665,0.337619422,0.62093887,0.1482,0.2149,0.62092
18,0.22411,0.30899,0.64211,0.27332,0.33002,0.6362,0.273326346,0.329991341,0.628245594,0.1373,0.1973,0.62822
19,0.21899,0.30211,0.65544,0.26672,0.32592,0.6164,0.266691106,0.325875529,0.641413907,0.1354,0.2052,0.64142
20,0.20566,0.29123,0.66123,0.25592,0.31082,0.6405,0.255896177,0.310800471,0.638016175,0.1369,0.1986,0.63802
21,0.19845,0.29567,0.65899,0.23323,0.31632,0.6071,0.233235834,0.316311371,0.622480792,0.1271,0.2185,0.62252
22,0.19233,0.28123,0.67211,0.22812,0.30232,0.6443,0.228213464,0.302337479,0.64343546,0.1318,0.2013,0.64342
23,0.19455,0.26899,0.68544,0.21567,0.28852,0.6549,0.215724344,0.288503626,0.651394119,0.123,0.1908,0.65142
24,0.18566,0.27544,0.68123,0.21301,0.29592,0.6525,0.212966245,0.295933124,0.651632286,0.1218,0.1924,0.65162
25,0.18211,0.26123,0.69567,0.21345,0.28302,0.6618,0.213423235,0.282981675,0.674824061,0.1236,0.2017,0.67482
26,0.17654,0.27211,0.68211,0.20212,0.29802,0.6628,0.202121568,0.297982471,0.64470879,0.1223,0.2054,0.64472
27,0.17122,0.26455,0.68899,0.20487,0.29092,0.6729,0.204756344,0.290892455,0.636569288,0.1204,0.1937,0.63662
28,0.16899,0.25123,0.70123,0.20201,0.29092,0.6658,0.202040602,0.27508458,0.673815707,0.1144,0.184,0.67382
29,0.16233,0.25455,0.69845,0.19752,0.27512,0.6715,0.197497502,0.276798152,0.672159232,0.1126,0.1868,0.67222
30,0.16455,0.25899,0.69211,0.19152,0.27682,0.6801,0.191500247,0.28134476,0.654939699,0.1114,0.1974,0.65492
31,0.16055,0.26211,0.69544,0.19312,0.28132,0.6704,0.193074758,0.298329387,0.658441941,0.1131,0.2016,0.65842
32,0.15566,0.24567,0.71211,0.19312,0.29832,0.6683,0.187942954,0.279240665,0.670505066,0.1105,0.203,0.62042
33,0.15211,0.24899,0.70899,0.18792,0.31632,0.6669,0.186267372,0.279913518,0.66691682,0.1113,0.1963,0.67052
34,0.14988,0.24123,0.71544,0.18632,0.30232,0.6513,0.18370687,0.273159822,0.668392448,0.1115,0.1976,0.66692
35,0.14822,0.24544,0.71211,0.18372,0.27322,0.6632,0.183160265,0.281768173,0.660596995,0.1081,0.1902,0.66842
36,0.14233,0.23567,0.72567,0.18321,0.28182,0.6536,0.181203589,0.272189146,0.682211808,0.11,0.19,0.66062
37,0.14455,0.23123,0.72899,0.18123,0.27222,0.6618,0.179083272,0.26434171,0.688271939,0.0994,0.1856,0.68222
38,0.13866,0.23899,0.71845,0.17912,0.26432,0.6487,0.175651775,0.27512855,0.661945081,0.105,0.1965,0.68832
39,0.13622,0.22845,0.73211,0.17563,0.27512,0.6459,0.176064715,0.265822856,0.696876712,0.103,0.2022,0.66192
40,0.13211,0.23211,0.75544,0.17612,0.26582,0.6599,0.174860749,0.270370977,0.718471218,0.1037,0.1896,0.69692
41,0.13455,0.22567,0.73567,0.17492,0.27042,0.6543,0.171430506,0.266472507,0.728744122,0.0994,0.2136,0.67852
42,0.12866,0.22899,0.73123,0.17145,0.26652,0.6549,0.171639112,0.27039847,0.706407565,0.1038,0.2126,0.68742
43,0.12622,0.21945,0.74211,0.17142,0.27042,0.6734,0.168912521,0.261445918,0.705749418,0.0991,0.1846,0.67642
44,0.12455,0.22211,0.73899,0.16892,0.26652,0.6693,0.167663395,0.264245044,0.694332651,0.1012,0.1804,0.69572
45,0.12211,0.21856,0.74123,0.16892,0.26142,0.6701,0.165106843,0.263855674,0.690703803,0.0951,0.1831,0.69432
46,0.12544,0.22411,0.73544,0.16772,0.26422,0.6711,0.164623503,0.265624333,0.736190935,0.0954,0.1977,0.69072
47,0.11966,0.21523,0.72567,0.16773,0.26392,0.6651,0.162609964,0.262938686,0.740534639,0.099,0.2084,0.68622
48,0.11822,0.21145,0.73899,0.16513,0.26292,0.6712,0.162078584,0.255545198,0.727949667,0.0987,0.1891,0.69052
49,0.11655,0.21456,0.76211,0.16462,0.25552,0.6631,0.159517283,0.25850833,0.732048354,0.0957,0.1898,0.70792
